Ctrl_rep1	Ctrl_rep2	METTL3_KD_rep1	METTL3_KD_rep2
GAK	4218	4107	3003	2953
SPON2	23	25	16	24
MAEA	4791	4614	4387	4157
SLBP	7942	8084	4284	4721
LETM1	9596	9703	7720	7883
WHSC1	13153	12783	6384	6991
ZFYVE28	194	184	222	191
RNF4	6033	6635	4019	4379
TNIP2	1736	1769	1197	1180
ADD1	8734	8583	9087	9644
GRK4	123	158	280	281
RGS12	555	516	707	783
STX18	1983	1948	1800	1821
STX18-AS1	190	157	128	144
LINC01396	2	2	1	2
LOC101928306	0	0	0	0
EVC2	0	0	0	0
EVC	948	881	1121	1158
JAKMIP1	50	48	44	57
PPP2R2C	164	155	186	172
KIAA0232	3308	3197	2341	2404
TBC1D14	3360	3374	3074	3221
AFAP1	1761	1813	1380	1441
ABLIM2	81	77	141	166
SLC2A9	0	2	0	0
WDR1	14148	14913	15686	16185
CLNK	0	1	0	0
HS3ST1	0	0	0	0
RAB28	1140	1081	1241	1440
LINC01182	0	1	0	0
CPEB2-AS1	0	1	1	1
LOC101929095	2	0	2	1
CC2D2A	611	667	989	1022
PROM1	3	2	3	4
TAPT1-AS1	42	42	88	85
FAM184B	100	79	60	64
LCORL	989	982	846	871
SLIT2	18919	18036	10216	10149
PACRGL	754	775	568	567
ADGRA3	2770	2791	1736	1835
GBA3	0	0	0	0
PPARGC1A	140	129	48	39
CCDC149	1	0	0	1
LOC101929161	0	0	0	0
SEL1L3	1101	1163	1548	1524
RBPJ	6649	6637	6658	6509
TBC1D19	332	327	276	300
STIM2	1237	1086	655	688
PCDH7	2141	2000	1153	1171
LOC102723778	0	0	0	0
LOC102723828	2	2	0	0
LOC101928622	0	0	0	0
ARAP2	589	543	290	298
DTHD1	0	0	0	0
NWD2	4	1	4	0
C4orf19	2	5	9	7
RELL1	206	151	121	102
TBC1D1	1467	1419	1529	1575
KLF3	2360	2366	865	860
FAM114A1	157	154	465	456
KLHL5	1463	1370	1073	1250
WDR19	1491	1435	1288	1318
RFC1	6207	5639	4219	4639
UGDH-AS1	33	24	22	24
SMIM14	396	403	664	656
UBE2K	10348	10273	4767	4907
N4BP2	2100	2098	1525	1528
RHOH	4	8	12	5
RBM47	457	392	565	525
NSUN7	0	0	0	0
LIMCH1	600	577	554	534
SLC30A9	8407	8316	9437	9761
LOC105374428	0	0	0	0
ATP8A1	1090	1063	490	512
KCTD8	1	1	1	2
GUF1	2323	2141	3271	3177
GABRA2	1	0	0	0
COX7B2	0	0	0	0
GABRA4	0	0	0	0
ATP10D	1270	1336	1460	1583
CORIN	15	12	11	18
LOC101927179	0	1	0	0
LOC101927157	5	7	6	4
CNGA1	3	11	9	10
TXK	6	4	1	6
SLAIN2	2248	2158	908	921
FRYL	2300	2232	2326	2435
OCIAD2	0	0	0	0
CWH43	0	0	0	0
DCUN1D4	3708	3568	2193	2306
SGCB	1908	1835	3146	3275
SCFD2	2415	2503	2083	2070
PDGFRA	90	93	47	58
CLOCK	2526	2528	973	885
LOC644145	24	38	38	45
CEP135	1998	1713	765	814
KIAA1211	869	752	688	701
AASDH	1631	1594	1704	1850
SRP72	15376	15359	11224	11825
POLR2B	20796	20559	12642	13634
IGFBP7-AS1	0	0	0	0
ADGRL3-AS1	0	0	0	0
TECRL	0	0	0	0
EPHA5	137	155	112	104
CENPC	1296	1232	1007	1093
UBA6	6795	6450	2387	2653
UGT2B17	0	0	0	0
UGT2A3	0	0	0	0
UGT2A2	0	0	0	0
UGT2A1	2	0	0	2
SULT1B1	0	0	0	0
SMR3B	0	0	0	0
RUFY3	1573	1424	1193	1232
MOB1B	2122	2088	1958	2059
NPFFR2	24	24	28	19
ANKRD17	12101	11449	9980	10195
MTHFD2L	337	322	288	247
PARM1	1141	1252	810	842
CDKL2	270	233	160	171
USO1	9245	9348	8390	8833
PPEF2	0	0	1	0
ART3	0	1	1	3
CXCL10	1	0	0	0
FAM47E-STBD1	0	0	0	0
CCNI	13067	13201	10891	11242
CNOT6L	3353	3192	1639	1547
FRAS1	1953	1794	1251	1221
BMP2K	975	955	1000	973
LINC01088	5	9	10	12
LINC00989	0	0	0	0
ANTXR2	588	604	737	744
PRKG2	92	110	172	206
ENOPH1	5995	6049	4266	4556
SCD5	1054	1103	2754	2820
LIN54	1495	1391	2048	2106
PLAC8	51	61	49	49
LOC101928978	27	36	13	12
MAPK10	34	33	25	27
PTPN13	5620	5063	4444	4523
KLHL8	4170	4117	2866	2853
NUDT9	2096	2215	1889	1971
ABCG2	319	311	319	307
HERC5	1851	1852	2449	2666
HERC3	2573	2737	1839	1883
FAM13A	2167	2273	825	883
GPRIN3	351	346	195	174
SNCA	1184	1234	305	344
MMRN1	1	0	0	1
SMARCAD1	6125	5962	5299	5398
PDLIM5	3505	3578	3880	3838
BMPR1B	311	277	323	283
STPG2-AS1	0	1	0	0
STPG2	2	3	3	4
RAP1GDS1	3972	3772	3031	3033
LOC100507053	42	15	26	30
ADH1C	0	0	0	0
LOC256880	0	1	2	0
EMCN	0	0	0	0
PPP3CA	3237	3144	2370	2408
BANK1	0	1	0	0
LOC105377621	15	15	27	22
CISD2	2997	3144	3065	3200
SLC9B1	9	12	29	24
CENPE	3304	2326	1346	1611
TACR3	0	0	0	0
LOC101929468	1	0	0	1
TET2	1921	1845	1601	1616
TET2-AS1	0	0	0	0
PPA2	7376	7264	5507	5740
ARHGEF38	2	1	3	0
GSTCD	3294	3244	970	909
TBCK	843	828	845	819
SGMS2	1138	1121	1128	1116
LOC101929595	1	0	2	0
LEF1	1779	1755	1711	1739
OSTC	8803	8944	6889	7159
SEC24B	3671	3632	2405	2460
CCDC109B	2238	2249	2207	2215
RRH	32	32	24	23
EGF	8	11	41	49
ENPEP	109	96	92	103
PITX2	897	978	859	833
ALPK1	356	353	391	387
ZGRF1	1271	1188	633	687
CAMK2D	2648	2593	2347	2435
ARSJ	108	117	56	45
NDST4	44	67	53	33
NDST3	18	15	20	26
LOC729218	996	817	666	653
SEC24D	2764	2909	2864	2999
SYNPO2	21	30	43	46
MYOZ2	0	0	0	0
USP53	2964	2971	884	828
LINC01061	505	434	487	507
LINC01365	0	0	0	0
MAD2L1	13079	13199	5670	6027
PRDM5	527	537	529	568
QRFPR	152	144	106	105
PP12613	0	3	1	1
TRPC3	138	118	29	38
KIAA1109	1613	1194	1007	963
ADAD1	0	0	0	0
SPATA5	888	783	686	725
LOC101927087	0	1	1	0
FAT4	635	548	499	430
INTU	656	690	277	284
HSPA4L	7752	7713	5431	5701
LARP1B	2780	2643	1489	1599
LOC100507487	7	10	4	7
JADE1	3849	3948	2757	3001
C4orf33	1288	1223	1043	1090
LOC101927282	0	0	0	1
LINC01256	0	0	0	0
SLC7A11-AS1	2	0	1	0
LOC105377448	0	0	0	0
ELF2	3350	3275	2720	2883
NAA15	16318	15617	9804	10194
MGST2	1382	1466	1198	1214
MAML3	498	476	505	520
SCOC	7939	7924	6398	6957
TBC1D9	1786	1853	1369	1404
RNF150	671	679	657	596
IL15	11	15	17	25
GAB1	1350	1371	695	678
SMARCA5	19780	19326	10919	11530
LOC101927636	0	0	0	0
ANAPC10	1363	1335	1122	1288
SMAD1	1561	1705	1122	1217
MMAA	200	202	233	254
ZNF827	977	918	587	529
SLC10A7	1279	1300	616	621
NR3C2	770	751	834	833
LOC101927849	0	0	0	1
DCLK2	317	310	243	256
SH3D19	2230	2292	2604	2724
FAM160A1	440	408	423	413
FBXW7	1522	1513	1769	1953
ARFIP1	3007	2943	2484	2749
FHDC1	148	112	143	161
TRIM2	1618	1513	648	651
MND1	1134	1086	1038	1090
KIAA0922	2125	1963	2106	2185
RNF175	16	10	18	23
DCHS2	41	40	43	43
RBM46	2	1	0	0
GUCY1A3	1152	1336	1173	1164
ASIC5	0	0	0	0
PDGFC	1236	1215	1095	1143
GLRB	742	771	758	822
RXFP1	0	0	0	0
FNIP2	3995	4160	3065	3077
C4orf45	0	0	0	0
LINC01207	0	0	0	0
APELA	2	0	3	3
KLHL2	867	879	880	1006
CPE	3925	3851	4612	4901
TLL1	252	240	218	219
SPOCK3	293	280	242	265
ANXA10	0	0	0	0
DDX60	180	165	206	226
DDX60L	1	0	0	0
SH3RF1	1202	1188	849	831
NEK1	2857	2646	1471	1554
HPF1	2525	2548	2672	3037
MFAP3L	883	876	778	806
LINC01612	0	0	0	0
LOC100506122	0	0	0	0
LOC101930370	20	15	23	27
GALNT7	2888	3002	737	753
HAND2-AS1	4	2	0	4
LOC101928509	7	8	8	12
CEP44	1600	1648	877	937
GLRA3	5	7	4	0
LOC101928551	0	0	0	0
GPM6A	865	941	1014	1115
VEGFC	188	177	198	237
NEIL3	1708	1680	1282	1416
LINC01098	0	0	0	0
LINC01099	1	4	0	2
LINC00290	0	0	0	0
WWC2	1841	1542	2114	2196
WWC2-AS1	0	0	0	0
STOX2	900	829	919	914
ENPP6	1	0	1	0
IRF2	509	548	510	566
PRIMPOL	475	460	368	368
ACSL1	2965	2924	2254	2279
SNX25	1539	1580	928	971
CCDC110	53	55	125	147
KLKB1	3	2	1	1
F11-AS1	0	0	1	1
LOC339975	0	0	0	0
LOC100506272	0	0	0	0
LINC01060	0	0	0	0
LINC01262	0	0	0	0
ZNF595	68	67	32	33
ZNF876P	0	0	0	0
ZNF732	0	0	1	0
ZNF141	0	0	0	0
MIR571	0	0	0	0
ABCA11P	579	571	439	516
ZNF721	800	682	790	835
ATP5I	7956	8603	5842	6213
MYL5	176	143	120	139
MFSD7	18	13	8	3
PCGF3	4441	4503	5263	5236
LOC100129917	79	84	29	22
TMEM175	498	492	750	683
DGKQ	697	572	333	305
SLC26A1	35	30	38	37
IDUA	26	20	50	26
FGFRL1	2082	2065	2572	2492
RNF212	1	0	0	0
LOC105374344	0	0	0	0
TMED11P	0	0	0	0
LOC100130872	0	0	1	0
CTBP1-AS	36	33	17	15
CTBP1	3571	3361	4374	4200
CTBP1-AS2	794	876	826	949
UVSSA	521	532	307	301
CRIPAK	290	262	235	259
NKX1-1	0	0	0	0
FAM53A	49	41	133	154
TMEM129	2714	2719	1550	1552
TACC3	11889	11543	7192	7702
FGFR3	1174	961	1716	1713
SCARNA22	39	39	13	11
NELFA	3090	2911	2378	2402
MIR943	0	0	1	0
C4orf48	168	94	212	86
NAT8L	2905	2939	2210	2088
HAUS3	1586	1501	1440	1571
MXD4	4388	4184	3877	3772
MIR4800	0	0	0	0
CFAP99	2	3	6	12
FAM193A	1516	1413	1488	1563
SH3BP2	1312	1158	604	587
MFSD10	1524	1468	758	687
NOP14-AS1	659	667	574	592
NOP14	11356	10665	5656	6294
HTT-AS	0	0	0	0
MSANTD1	4	2	3	0
HGFAC	0	1	0	0
DOK7	10	9	27	17
LRPAP1	10670	10734	9621	9753
LINC00955	0	0	0	0
LOC100133461	0	0	0	0
ADRA2C	313	281	243	235
FAM86EP	473	473	661	745
TMEM128	1105	1140	682	768
LYAR	6229	5921	2982	3045
ZBTB49	230	211	230	250
NSG1	515	511	1015	1035
STX18-IT1	0	0	0	0
LOC101928279	33	27	16	19
MSX1	1115	1014	728	743
CYTL1	1	1	0	0
LINC01587	1	0	0	0
CRMP1	274	268	180	203
MIR378D1	0	0	0	0
LOC285484	52	49	49	52
MAN2B2	1043	1070	1304	1327
MRFAP1	34605	35035	21638	22968
LOC105374366	146	154	91	128
LOC93622	2532	2545	1424	1524
S100P	0	0	2	0
MRFAP1L1	6931	7159	5208	5657
BLOC1S4	1413	1368	881	910
LOC100129931	9	6	2	1
CCDC96	75	80	135	118
TADA2B	2980	2934	3215	3267
GRPEL1	8458	8695	5574	6270
FLJ36777	7	7	10	9
MIR4798	0	0	0	0
PSAPL1	0	0	0	0
MIR4274	0	0	0	0
AFAP1-AS1	3	1	0	3
LOC389199	0	0	0	0
MIR95	0	0	0	0
SH3TC1	0	0	1	0
HTRA3	222	259	271	303
TRMT44	1052	1023	955	937
GPR78	0	0	0	0
CPZ	99	120	60	59
HMX1	232	184	269	238
LOC650293	0	0	0	0
USP17L10	0	0	0	0
USP17L11	0	0	0	0
USP17L12	0	0	0	0
USP17L13	0	0	0	0
USP17L15	0	0	0	0
USP17L17	0	0	0	0
USP17L18	0	0	0	0
USP17L19	0	0	0	0
USP17L20	0	0	0	0
USP17L21	0	0	0	0
USP17L22	0	0	0	0
USP17L24	0	0	0	0
USP17L25	0	0	0	0
USP17L26	0	0	0	0
USP17L5	0	0	0	0
USP17L27	0	0	0	0
USP17L28	0	0	0	0
USP17L29	0	0	0	0
USP17L9P	0	0	0	0
USP17L30	0	0	0	0
USP17L6P	0	0	0	0
DEFB131	0	0	0	0
MIR548I2	0	0	0	0
DRD5	0	0	0	0
MIR3138	0	0	0	0
ZNF518B	1288	1156	1097	1038
MIR572	0	0	0	0
LOC101929019	0	0	0	0
LINC01097	0	2	1	1
NKX3-2	112	119	148	147
LINC01096	3	3	1	4
BOD1L1	2697	2305	1494	1618
MIR5091	0	0	0	0
LINC01085	0	0	0	0
CPEB2	646	722	426	466
C1QTNF7	0	0	0	0
FBXL5	3191	3385	2984	2964
FAM200B	1107	1041	810	854
CD38	1	2	2	4
FGFBP1	7	7	8	4
FGFBP2	0	0	0	0
TAPT1	1369	1340	1273	1333
LOC101929123	0	0	0	0
QDPR	2774	2922	2420	2449
CLRN2	0	0	0	0
LAP3	6836	7023	4111	4609
MED28	8678	8753	4904	5301
DCAF16	3259	2676	2549	2682
SLIT2-IT1	16	5	8	5
MIR218-1	0	0	0	0
MIR7978	0	0	0	0
LOC105374516	0	0	0	0
KCNIP4-IT1	0	0	0	0
LOC100505912	6	5	1	2
MIR573	12	12	13	15
DHX15	20881	21512	12719	12984
SOD3	0	0	1	0
LGI2	340	300	303	345
SEPSECS	479	488	227	232
PI4K2B	2197	1968	2712	2828
ZCCHC4	927	968	653	619
ANAPC4	2033	2047	1538	1698
SLC34A2	0	0	1	1
SMIM20	873	837	850	936
CCKAR	0	0	0	0
LOC105374546	11	9	7	10
MIR4275	0	0	0	0
LOC105377651	0	0	0	0
LOC101927363	0	0	0	0
LOC439933	0	0	0	0
MIR1255B1	0	0	0	0
LOC100508631	0	0	0	0
MIR4801	0	0	0	0
PGM2	3772	3829	2089	2290
PTTG2	0	0	0	0
LINC01258	0	0	0	0
KLF3-AS1	5	0	3	2
TLR10	0	2	1	2
TLR6	64	52	62	74
MIR574	0	0	0	0
TMEM156	2	2	10	10
KLB	22	13	9	12
MIR5591	0	0	0	0
RPL9	73856	72620	50182	51826
LIAS	581	588	376	386
LOC401127	2	0	2	0
UGDH	2031	2012	1388	1452
LOC344967	0	0	3	0
LOC101060498	0	0	0	0
CHRNA9	3	3	5	3
MIR4802	0	0	0	0
UCHL1-AS1	0	1	4	2
UCHL1	14549	14749	15561	16034
PHOX2B	1	0	0	0
LINC00682	0	0	0	0
DCAF4L1	36	22	10	9
BEND4	1602	1563	1257	1182
SHISA3	156	146	76	90
LVCAT1	0	0	0	0
YIPF7	2	2	1	2
GNPDA2	846	916	624	638
GABRG1	0	0	0	0
COMMD8	1582	1722	932	1013
MIR8053	0	0	0	0
NFXL1	1298	1221	1015	1020
NIPAL1	385	320	1015	980
SLC10A4	90	84	72	76
ZAR1	0	3	0	0
OCIAD1	5553	5359	4622	4948
LRRC66	16	20	10	15
SPATA18	617	676	2170	2335
USP46	3067	3053	1057	1117
USP46-AS1	30	32	20	29
DANCR	6513	6945	3156	3092
MIR4449	0	0	0	0
SNORA26	23	8	3	6
ERVMER34-1	1	0	0	0
LINC01618	0	0	0	0
RASL11B	415	415	302	355
FIP1L1	4522	4430	3639	3725
LNX1-AS1	0	0	0	0
LNX1-AS2	0	0	0	0
LOC100506444	0	0	0	0
RPL21P44	3	1	0	2
CHIC2	575	574	565	612
GSX2	2	0	0	2
LOC339978	1	0	1	1
KIT	1775	1938	2562	2692
KDR	16	15	23	22
SRD5A3	2367	2378	2174	2116
SRD5A3-AS1	4	1	2	2
TMEM165	4903	4882	2663	2826
NMU	578	579	368	428
EXOC1	2535	2515	2441	2578
PPAT	9990	10467	9397	9862
PAICS	44598	43765	28518	30606
ARL9	1	2	4	2
THEGL	10	4	7	4
HOPX	159	170	194	207
SPINK2	87	83	112	92
REST	2503	2373	2651	2797
NOA1	2710	2752	2574	2632
IGFBP7	67	70	85	86
LOC101928851	0	0	0	0
LOC105377671	0	0	0	0
LOC105377247	0	0	0	0
LOC105377245	0	0	0	0
MIR548AG1	0	0	0	0
LOC401134	0	1	0	0
EPHA5-AS1	24	20	24	36
MIR1269A	0	0	0	0
LOC101927237	1	1	1	1
STAP1	10	10	2	6
UBA6-AS1	1098	1216	862	875
GNRHR	12	8	4	8
TMPRSS11D	0	0	0	0
TMPRSS11A	0	0	0	0
TMPRSS11GP	0	0	0	0
TMPRSS11F	0	0	1	2
LOC550113	0	0	0	0
SYT14P1	0	0	0	0
FTLP10	0	0	0	0
TMPRSS11BNL	0	0	0	0
TMPRSS11B	0	0	0	0
YTHDC1	6537	6472	4653	5067
TMPRSS11E	0	0	0	0
UGT2B15	0	0	0	0
UGT2B10	0	0	0	0
UGT2B7	1	0	1	0
UGT2B28	0	0	0	0
UGT2B4	64	65	37	38
SULT1E1	0	0	0	0
CSN1S1	0	0	0	0
CSN2	0	0	0	0
STATH	0	0	0	0
HTN3	0	0	0	0
HTN1	0	0	0	0
CSN1S2AP	0	0	0	0
CSN1S2BP	0	0	0	0
PRR27	0	0	0	0
ODAM	1	0	1	0
FDCSP	0	0	0	0
CSN3	0	0	0	0
CABS1	0	0	0	0
SMR3A	0	0	0	0
OPRPN	0	0	0	0
MUC7	0	0	0	0
AMTN	0	0	0	0
AMBN	57	54	32	47
ENAM	0	0	0	1
JCHAIN	1	0	1	1
UTP3	3975	4024	2189	2403
GRSF1	12309	12452	9733	10359
DCK	3378	3370	2788	2805
GC	0	0	0	1
COX18	1491	1407	1071	1061
ALB	1	1	2	0
AFP	0	0	0	1
AFM	0	0	0	0
LOC728040	0	0	0	0
RASSF6	31	34	29	25
CXCL8	10	8	4	6
CXCL6	17	14	2	2
PF4V1	0	0	0	0
CXCL1	3	4	4	8
PF4	4	3	7	7
PPBP	0	0	0	0
CXCL5	0	1	0	0
CXCL3	37	34	33	28
PPBPP2	0	0	2	0
CXCL2	9	14	7	12
EPGN	0	1	0	1
EREG	2	0	0	0
BTC	2	0	0	0
LOC100507388	1	0	0	0
LOC441025	0	0	0	0
THAP6	1036	1046	1084	1047
C4orf26	2	0	0	0
G3BP2	24554	25769	23289	23825
NAAA	629	699	924	1013
SDAD1	4865	4619	4422	4819
LOC101928809	2	1	0	0
CXCL9	0	0	0	0
CXCL11	0	0	0	0
NUP54	6492	6649	3680	4006
SCARB2	6584	7042	4720	4804
FAM47E	7	8	7	8
STBD1	50	54	47	36
CCDC158	1	1	1	0
MIR4450	0	0	0	0
MIR548AH	0	0	0	0
SOWAHB	7	5	11	9
SEPT11	16321	16051	7409	7258
CCNG2	1962	1952	390	389
MRPL1	3272	3400	2741	2979
ANXA3	160	155	176	187
LINC01094	0	0	0	0
MIR5096	0	0	0	0
PAQR3	5280	5197	2809	2941
NAA11	0	0	0	0
GK2	0	0	0	0
PCAT4	0	0	0	0
PRDM8	111	77	72	81
FGF5	108	84	42	53
BMP3	68	46	63	60
LOC101928942	0	0	0	0
RASGEF1B	685	755	773	768
HNRNPD	38610	36918	17084	17776
HNRNPDL	26770	25604	14104	15143
TMEM150C	165	158	301	312
LINC00575	0	0	0	0
MIR575	0	0	0	0
THAP9-AS1	856	753	521	534
SNORD143	25	19	10	8
SNORD144	8	6	4	2
THAP9	604	579	676	739
COPS4	6620	6514	4964	5361
COQ2	1870	1923	1122	1159
HPSE	315	348	454	448
HELQ	1113	1109	814	878
MRPS18C	1672	1692	1238	1315
FAM175A	692	693	630	590
GPAT3	617	593	639	713
NKX6-1	253	256	249	262
CDS1	2892	3168	837	837
WDFY3-AS2	116	99	102	102
MIR4451	0	0	0	0
LOC101929064	0	0	0	1
MIR4452	0	0	0	0
SLC10A6	1	0	0	0
C4orf36	28	40	40	43
LOC100506746	41	26	42	32
MIR5705	0	0	0	0
HSD17B13	10	3	4	2
HSD17B11	2423	2601	2463	2357
SPARCL1	4	5	2	8
DSPP	1	0	0	0
DMP1	1	1	1	0
IBSP	0	0	0	0
MEPE	0	0	0	0
SPP1	10	10	9	4
PKD2	1242	1230	475	411
PPM1K	1688	1497	1034	1096
LOC105369192	2	1	0	3
HERC6	420	422	547	568
PYURF	0	0	0	0
PIGY	0	0	0	0
LOC101929134	3	6	2	4
NAP1L5	2	2	1	3
FAM13A-AS1	17	9	4	5
TIGD2	459	460	699	767
SNCA-AS1	3	4	1	0
ATOH1	14	13	24	28
LOC101929210	1	0	1	1
HPGDS	0	1	0	0
BMPR1B-AS1	5	2	4	4
PDHA2	1	0	0	0
EIF4E	6321	6266	5102	5533
METAP1	8596	8809	1908	2082
MIR3684	0	0	0	0
ADH5	12092	12685	10952	11828
ADH4	0	1	2	0
PCNAP1	0	0	0	0
ADH6	9	11	10	6
ADH1A	0	0	1	0
ADH1B	0	1	0	0
ADH7	0	0	0	0
C4orf17	0	0	0	0
TRMT10A	2198	2216	1633	1690
DAPP1	0	0	0	0
LAMTOR3	3239	3194	2868	3006
DNAJB14	2441	2396	1552	1536
H2AFZ	60647	63364	44914	50909
DDIT4L	364	444	471	502
LOC101929353	0	0	0	0
SNORA101A	0	0	0	0
MIR8066	0	0	0	0
MIR1255A	0	0	0	0
FLJ20021	108	84	93	109
SLC39A8	4103	4306	3431	3417
NFKB1	2706	2573	1496	1550
LOC102723704	0	3	0	1
UBE2D3	26149	26959	16777	17414
LOC105377348	97	103	54	70
SLC9B2	1075	1155	710	803
BDH2	1995	2029	2874	3111
LOC101929448	0	0	0	0
CXXC4	137	149	180	212
ARHGEF38-IT1	0	0	0	0
INTS12	2218	2178	1802	1876
LOC101929529	0	0	0	0
LOC101929577	0	1	0	0
AIMP1	4676	4656	3854	4083
GIMD1	0	0	0	0
PAPSS1	3675	3655	3145	3168
CYP2U1	786	764	1224	1212
LEF1-AS1	13	5	16	16
RPL34-AS1	3	12	9	8
LOC101929621	0	0	0	0
RPL34	32166	33388	23067	23836
ETNPPL	118	115	71	73
SEC24B-AS1	42	38	23	23
MIR576	0	1	0	0
CASP6	1241	1170	1230	1362
PLA2G12A	4145	4246	2287	2210
CFI	14	9	13	14
GAR1	4020	3910	1640	1770
LRIT3	6	11	6	7
MIR297	0	0	0	0
C4orf32	1574	1586	943	1035
AP1AR	1978	1829	699	667
TIFA	1035	1066	1024	1112
NEUROG2	92	93	74	74
LARP7	4739	4317	3692	4072
MIR367	0	1	0	0
MIR302D	0	1	0	0
MIR302A	0	2	0	0
MIR302C	2	1	0	2
MIR302B	1	0	0	0
MIR1243	0	0	0	0
MIR8082	0	0	0	0
UGT8	2380	2474	596	695
MIR577	0	0	0	0
MIR1973	0	0	0	0
TRAM1L1	192	217	109	102
SNHG8	2171	2133	1020	1112
SNORA24	18	10	3	4
PRSS12	551	526	332	363
CEP170P1	7	4	1	6
LOC101929741	4	2	1	3
METTL14	1761	1751	1526	1616
LOC101929762	1	4	3	1
C4orf3	4703	4795	3797	4203
FABP2	0	0	0	0
GTF2IP12	62	64	67	54
LOC645513	266	232	158	150
LOC100996694	0	0	0	0
NDNF	320	355	281	298
TNIP3	7	3	7	3
ANXA5	22262	22957	14873	15363
TMEM155	118	125	45	36
EXOSC9	4996	4777	3049	3429
CCNA2	12664	12373	8568	8902
BBS7	3338	3358	2483	2538
IL2	0	0	0	0
IL21	0	0	0	0
CETN4P	55	70	71	85
BBS12	470	518	726	750
FGF2	1370	1349	407	445
NUDT6	140	136	165	175
SPRY1	823	773	485	496
ANKRD50	2350	2259	2829	2686
MIR2054	0	0	0	0
SLC25A31	0	0	1	1
PLK4	3333	3290	2890	3203
ABHD18	994	904	868	944
PGRMC2	5961	5932	2563	2858
LOC101927305	0	0	0	0
LOC101927359	37	41	14	17
PABPC4L	909	887	588	552
LINC00613	0	1	0	0
LOC729307	0	0	0	0
PCDH18	394	356	235	236
LINC00616	0	0	0	0
SLC7A11	1530	1301	127	150
NOCT	836	758	673	710
MGARP	828	955	491	494
NDUFC1	4371	4136	2393	2472
SETD7	5243	4814	840	901
SCOC-AS1	94	99	137	129
CLGN	2106	2267	2790	2889
MGAT4D	0	0	0	0
ELMOD2	4257	4353	4311	4563
UCP1	0	0	1	0
TNRC18P1	1	3	0	1
ZNF330	4610	4643	2549	2746
LOC100507639	0	0	0	0
LOC105377623	23	18	18	15
USP38	3839	3737	2073	2117
MIR3139	0	0	0	0
SMARCA5-AS1	1	3	2	4
GUSBP5	0	0	0	0
LOC105377458	0	0	0	0
GYPE	0	0	0	0
GYPB	0	0	0	0
GYPA	0	0	0	0
HHIP-AS1	33	40	36	40
ABCE1	17371	17063	13017	13798
OTUD4	10526	10602	4594	4661
SMAD1-AS2	0	0	0	0
SMAD1-AS1	0	0	0	0
C4orf51	0	0	0	0
LINC01095	0	0	0	0
LSM6	2552	2613	1486	1691
MIR7849	0	0	0	0
POU4F2	17	18	2	2
MIR548G	0	0	0	0
EDNRA	328	298	422	452
TMEM184C	2401	2411	2676	2659
PRMT9	1103	1123	1330	1301
MIR4799	0	0	0	0
LOC105377480	0	0	0	0
MAB21L2	5	5	2	8
RPS3A	155159	149255	87549	92395
SNORD73A	0	0	0	0
PRSS48	0	1	0	1
GATB	3409	3618	3295	3263
LOC100996286	0	0	0	0
DEAR	0	0	1	0
MIR3140	0	0	0	0
DKFZP434I0714	193	191	53	59
MIR4453	0	0	0	0
TMEM154	8	12	8	5
TIGD4	71	87	22	22
LOC729870	11	20	43	44
ANXA2P1	6	4	2	2
LOC100419170	0	0	1	0
TLR2	0	0	0	0
SFRP2	4	6	1	1
PLRG1	6724	6826	6052	6225
FGB	0	1	0	0
FGA	0	0	0	0
FGG	3	0	6	4
LRAT	57	52	37	27
NPY2R	3	0	3	3
MAP9	2228	2185	1801	1804
LOC102724776	1	0	0	1
GUCY1B3	1739	1854	1719	1811
TDO2	3	2	4	4
CTSO	170	183	234	253
LOC340017	0	0	0	0
FAM198B	8	5	20	23
TMEM144	896	883	845	872
C4orf46	3440	3408	1362	1490
ETFDH	3184	3262	2278	2350
PPID	4556	4492	3029	3214
MIR3688-1	0	0	0	0
MIR3688-2	0	0	0	0
RAPGEF2	1914	1795	1809	1893
LOC101928052	0	0	0	0
MIR4454	0	0	0	0
NAF1	2430	2371	1341	1289
NPY1R	185	159	179	204
NPY5R	20	28	27	21
TKTL2	0	0	0	0
TMA16	3281	3232	2362	2555
ANP32C	4	4	6	1
TRIM61	0	0	0	0
FAM218A	0	0	0	0
TRIM60	0	0	0	0
TMEM192	3169	3146	1911	2001
GK3P	3	0	1	2
MSMO1	4143	4495	1929	1974
MIR578	0	0	0	0
LINC01179	1	0	0	0
LOC101928131	6	4	2	1
CBR4	2105	2064	2541	2625
CLCN3	7121	7424	2785	2800
LOC100506085	0	0	0	0
AADAT	1022	1040	991	952
LOC100506107	0	0	0	0
MIR6082	0	0	0	0
LOC441052	72	53	30	29
LOC101928314	0	0	0	0
MIR548T	0	0	0	0
HMGB2	19328	18941	13875	14892
SAP30	1141	1073	925	1002
SCRG1	0	0	0	0
HAND2	94	84	82	105
FBXO8	1257	1292	1369	1403
MIR4276	0	0	0	0
HPGD	461	457	213	220
ADAM29	0	0	5	3
LOC101928590	1	0	1	0
SPATA4	7	9	18	15
ASB5	2	0	0	2
SPCS3	12514	12804	10773	10751
AGA	1192	1227	1051	1082
LOC90768	340	342	94	107
MIR1305	0	0	0	0
DCTD	2960	3107	2822	3006
FAM92A1P2	0	0	0	0
WWC2-AS2	7	11	4	6
CLDN22	0	0	0	0
CLDN24	2	2	0	0
